PointName,Lng,Lat,Score
地铁梨园站4,116.6627996,39.8829011,36
地铁梨园站5,116.6629881,39.88276723,34.33
地铁梨园站6,116.6629322,39.88279731,36.56
地铁梨园站7,116.6627258,39.88298946,33.78
地铁梨园站8,116.6628135,39.88291139,36
地铁梨园站9,116.6631316,39.88280009,32.11
地铁临河里站1,116.6724884,39.8741657,13.22
地铁临河里站10,116.6725961,39.87406442,11
地铁临河里站11,116.67264,39.87404645,11.56
地铁临河里站12,116.6725951,39.8740775,11
地铁临河里站13,116.6725843,39.87406,11
地铁临河里站14,116.6725811,39.87405751,11
地铁临河里站15,116.6726291,39.87403345,11
地铁临河里站2,116.6725852,39.8740845,11.56
地铁临河里站3,116.6725483,39.87411554,11.56
地铁临河里站4,116.6726609,39.87401037,11.56
地铁临河里站5,116.6725493,39.87412848,11.56
地铁临河里站6,116.672632,39.87404445,11.56
地铁临河里站7,116.6725442,39.87411354,11.56
地铁临河里站8,116.6727236,39.87486728,13.78
地铁临河里站9,116.6725592,39.87408452,11.56
地铁潞城站1,116.7392558,39.90232075,7.67
地铁潞城站2,116.7407355,39.90198159,7.67
地铁通州北关站1,116.6552389,39.91831923,22.67
地铁通州北关站2,116.6554465,39.91703713,8.78
地铁通州北关站3,116.6554014,39.91870908,27.67
地铁通州北苑站1,116.6308256,39.90315165,42.11
地铁通州北苑站2,116.6307986,39.90321364,41.56
地铁通州北苑站3,116.6309433,39.90301746,43.22
地铁通州北苑站4,116.6311365,39.90425272,27.11
地铁通州北苑站5,116.6309384,39.90301297,43.22
地铁通州北苑站6,116.6308626,39.90314354,42.11
地铁通州北苑站7,116.6311615,39.90421044,30.44
地铁通州北苑站8,116.6312224,39.9041124,37.11
地铁同济南路站1,116.5319462,39.77154323,12.67
地铁同济南路站2,116.5315954,39.77137289,12.67
地铁同济南路站3,116.5319372,39.77152913,13.22
地铁土桥站1,116.6829386,39.87019096,8.78
地铁土桥站10,116.6827422,39.87023418,8.78
地铁土桥站11,116.6848779,39.86967432,9.33
地铁土桥站12,116.6826565,39.87027323,8.78
地铁土桥站13,116.6827093,39.87028321,8.78
地铁土桥站14,116.6848091,39.86969238,9.33
地铁土桥站2,116.6826964,39.87026122,8.78
地铁土桥站3,116.6827223,39.87024818,8.78
地铁土桥站4,116.6826247,39.87027346,8.78
地铁土桥站5,116.6828858,39.87022208,8.78
地铁土桥站6,116.6827363,39.87024319,8.78
地铁土桥站7,116.6826625,39.87027121,8.78
地铁土桥站8,116.6827273,39.8702452,8.78
地铁土桥站9,116.6804531,39.87098414,19.33
地铁万盛东站1,116.6499622,39.86257965,6.56
地铁万盛东站2,116.650002,39.86292854,6.56
邓庄村,116.8118168,39.70669447,2.67
翟各庄1,116.7525556,39.77132172,1.56
翟各庄2,116.7563444,39.77226586,1.56
翟各庄村西口,116.7564006,39.77218096,1.56
翟里村,116.742625,39.99763501,7.67
靛庄村,116.7633981,39.80228249,1.56
丁各庄1,116.7286949,39.92887383,11
丁各庄2,116.728663,39.9289207,11
丁各庄3,116.7286809,39.92884983,11
丁各庄4,116.7286899,39.92884015,11
丁各庄5,116.7286929,39.9288528,11
定海园北,116.5579773,39.80072274,7.67
东堡村,116.7586184,39.89495631,2.67
东定安村,116.835253,39.72619817,3.22
东关大桥,116.6796073,39.91189854,37.11
东关大桥1,116.6795814,39.91188327,37.11
东关大桥2,116.6786104,39.91179724,18.22
东关大桥3,116.678731,39.91179809,22.11
东关大桥4,116.6786314,39.91180123,19.33
东关大桥南,116.6739846,39.90784887,2.11
东河村南口,116.807489,39.67408836,2.11
东黄垡村,116.8091569,39.73454708,1.56
东刘村,116.7978031,39.86336046,2.11
东鲁大队,116.7516205,39.75051116,2.67
东鲁大桥,116.7523015,39.76077965,1
东鲁中街,116.7516028,39.75429369,3.78
东马各庄,116.6972058,39.72943061,1.56
东马各庄村,116.6972198,39.72927374,1.56
东马各庄桥,116.6961148,39.73524976,1.56
东上园1,116.6782983,39.90017137,13.22
东上园2,116.6782068,39.90014835,12.67
东寺庄村1,116.8494744,39.74205288,6.56
东寺庄村2,116.8495176,39.74203459,6
东田阳,116.6289946,39.74400779,3.22
东田阳东口,116.6349936,39.74633926,1.56
东田阳西口,116.6188884,39.74152029,3.78
东夏园路口北1,116.7297861,39.9029777,2.11
东夏园路口北2,116.72984,39.90308058,1.56
东夏园路口东,116.7314579,39.9022162,2.11
东夏园路口南,116.7291125,39.90112661,2.67
东旭新村,116.6198246,39.87768431,1.56
东永何屯1,116.7241746,39.77617018,1.56
东永何屯2,116.7241806,39.77607018,1.56
董村,116.5462789,39.82808055,4.33
杜柳棵村1,116.8356317,39.81308227,7.11
杜柳棵村2,116.8358811,39.81321383,5.44
杜柳棵村南,116.8350941,39.81240102,7.67
垛子村,116.6180763,39.80256154,2.67
二六三医院(北行),116.6368133,39.91180903,39.89
二六三医院(东行),116.6405808,39.91305952,9.89
二六三医院1,116.6368083,39.91179202,40.44
二六三医院2,116.6366637,39.91187801,41.56
范庄,116.6525894,39.93864039,3.22
冯各庄村,116.8349011,39.78757106,2.11
驸马庄,116.5800521,39.75889752,15.44
复兴里1,116.6383515,39.90214459,8.22
复兴里2,116.638562,39.90144389,4.33
复兴里3,116.6383469,39.90210357,7.67
富各庄南口,116.7371534,39.68055319,1.56
富豪北口,116.6619277,39.96078009,1.56
富豪村,116.6536866,39.96191372,14.33
富豪村南,116.654173,39.95852688,3.22
富豪工业园,116.652807,39.96818561,2.11
富豪南口,116.6567811,39.95578643,2.11
富豪小学,116.6533159,39.96458689,13.22
富河园小区1,116.6502295,39.92331285,16
富河园小区2,116.6502454,39.92336864,16.56
富河园小区3,116.6502474,39.92330931,16
富河园小区4,116.6502374,39.92331243,16
富力尚悦居,116.5810005,39.76980176,6.56
富力小区,116.6841054,39.90184282,7.67
甘棠桥西,116.8077028,39.85395944,7.67
甘棠乡政府(侉子店),116.8093744,39.85480435,8.78
岗山路口,116.6079167,40.03339304,1.56
港北,116.7496163,40.00920721,1.56
高村,116.8766849,39.63811617,1
高楼金村1,116.6815476,39.86147693,1.56
高楼金村2,116.6815624,39.86148585,2.11
高楼金村3,116.6815435,39.86148185,1.56
高营村1,116.6452994,39.77468329,2.11
高营村2,116.6454389,39.77498112,2.11
高营村3,116.645419,39.77475119,2.11
高营村北口1,116.6454134,39.7788538,1.56
高营村北口2,116.6454642,39.7788487,1.56
高营村南口,116.6453387,39.77243556,1
格拉斯小镇,116.648433,39.99840851,1.56
格瑞雅居小区1,116.6375171,39.88605417,16
格瑞雅居小区2,116.6375017,39.88602194,16.56
