pts.lon,pts.lat,pts.amenity
-73.9814217,40.7780484,bank
-73.9807934,40.78173,bank
-73.9758087,40.7901351,bank
-73.9839175,40.714814,bank
-73.9494065,40.7239859,bank
-73.9480306,40.7250713,bank
-73.952697,40.742678,bank
-73.9905206,40.7345393,bank
-74.0186625,40.7852518,bank
-73.9814701,40.7610544,commercial
-73.9783494,40.7599395,commercial
-73.9825123,40.7581901,commercial
-73.9780071,40.7595021,commercial
-73.9868832,40.7558308,commercial
-73.9706892,40.7589747,commercial
-73.9742675,40.7580222,commercial
-73.9755231,40.757654,commercial
-73.977404,40.7603428,commercial
-73.9768003,40.7541425,commercial
-73.9822771,40.7621767,commercial
-73.9745703,40.7556814,commercial
-73.9841152,40.7621229,commercial
-73.9726359,40.7573331,commercial
-73.9720001,40.7572559,commercial
-73.9788602,40.7524792,commercial
-73.9738013,40.7561222,commercial
-73.9753968,40.754656,commercial
-73.9721279,40.7582972,commercial
-73.9804432,40.7622602,commercial
-73.9810034,40.7616486,commercial
-73.9818326,40.7603739,commercial
-73.9760058,40.7555059,commercial
-73.9757079,40.7561267,commercial
-73.9757704,40.7560404,commercial
-73.9772187,40.7633205,commercial
-73.9753381,40.7563988,commercial
-73.9832051,40.7546151,commercial
-73.9781269,40.7559974,commercial
-73.978052,40.7612228,commercial
-73.9829587,40.7587201,commercial
-73.9853274,40.7569584,commercial
-73.9823141,40.7638217,commercial
-73.9763324,40.7577656,commercial
-73.9769395,40.7597061,commercial
-73.9307918,40.7711402,commercial
-73.994098,40.7258224,commercial
-73.99115,40.7301444,commercial
-73.9992859,40.7244414,commercial
-73.972988,40.7538978,commercial
-73.9733225,40.7540379,commercial
-74.0035652,40.7257589,commercial
-74.0070976,40.7248214,commercial
-73.9786815,40.7614233,commercial
-73.9821884,40.7629198,commercial
-73.9805085,40.7652444,commercial
-73.9820826,40.7660765,commercial
-73.9794857,40.753677,commercial
-73.9798173,40.7537641,commercial
-73.9804821,40.7537505,commercial
-73.9779581,40.7628123,commercial
-74.005764,40.7432328,commercial
-73.9918654,40.7417285,commercial
-73.9934276,40.743319,commercial
-73.999629,40.7460081,commercial
-73.9901905,40.7479257,commercial
-73.9910969,40.7480647,commercial
-73.9899173,40.7483015,commercial
-73.9848619,40.7408302,commercial
-73.975794,40.7635771,commercial
-73.9788574,40.7626681,commercial
-73.981642,40.7645958,commercial
-73.9834623,40.7662295,commercial
-73.9890549,40.7513013,commercial
-73.9853704,40.754094,commercial
-73.9864382,40.7550474,commercial
-73.9912432,40.7637356,commercial
-73.9866311,40.7624118,commercial
-73.9820372,40.7665516,commercial
-73.9715192,40.7623587,commercial
-73.972917,40.7629952,commercial
-73.9720828,40.7642759,commercial
