lon,lat,amenity
-73.9894777,40.7172511,school
-73.9894375,40.7366549,school
-73.9654683,40.7951769,school
-73.952134,40.8095902,school
-73.9571,40.784046,school
-73.9562333,40.8144703,school
-73.9732728,40.7449552,school
-73.98079,40.7250606,school
-73.9897743,40.7397055,university
-73.9793055,40.7470462,school
-73.9936689,40.7362844,university
-73.9804261,40.7256657,school
-73.9519987,40.7061555,school
-73.9936111,40.7388889,school
-73.9957617,40.7504518,university
-73.9504689,40.8176789,university
-73.9905606,40.7295282,university
-73.9829166,40.7739902,school
-74.0123807,40.7066535,college
-73.9922363,40.7367924,university
-73.9558478,40.8156522,school
-73.9474899,40.8171503,school
-73.9804166,40.7256578,school
-73.9908333,40.7422222,school
-73.9895836,40.7434351,school
-73.9713889,40.7902778,school
-73.982639,40.7295465,school
-74.0159107,40.7892085,school
-73.9659718,40.7551017,school
-73.9678437,40.7932026,kindergarten
-73.9597315,40.7652958,school
-73.9688889,40.7869444,school
-74.0154175,40.7884343,library
-73.9965928,40.7398401,school
-73.9968171,40.739738,school
-73.9631007,40.7061623,school
-73.9785759,40.7913948,school
-73.9594877,40.7061399,school
-73.963051,40.7061075,school
-73.9972222,40.7386111,school
-74.0180579,40.786905,school
-73.9709581,40.768013,school
-73.9614589,40.7963066,preschool
-73.9836679,40.7461718,training
-73.999944,40.7327109,school
-74.0013399,40.7304534,school
-73.9981738,40.7289376,school
-73.9998181,40.7270177,school
-73.9975754,40.7259057,school
-73.9972784,40.7262575,school
-73.9965,40.7258656,school
-73.9963141,40.7260797,school
-73.9970936,40.7264735,school
-73.9966749,40.7269675,school
-73.9958777,40.7265648,school
-73.9948617,40.7277467,school
-73.9956846,40.7281422,school
-73.9950618,40.7288365,school
-73.994331,40.7284965,school
-73.9934042,40.7295906,school
-73.9948846,40.7303386,school
-73.9940737,40.7312667,school
-73.9963197,40.7322059,school
-73.9979742,40.73286,school
-73.9986282,40.7320879,school
-73.999944,40.7327109,school
-73.9650561,40.7690072,school
-73.9654282,40.7685027,school
-73.9646375,40.7681683,school
-73.9650872,40.7675584,school
-73.9645806,40.7673441,school
-73.9643899,40.7676012,school
-73.963891,40.767389,school
-73.963828,40.7673622,school
-73.9638088,40.767354,school
-73.9637839,40.7673434,school
-73.9636983,40.7674587,school
-73.9636136,40.7675727,school
-73.9642008,40.7678211,school
-73.9637375,40.7684494,school
-73.9650561,40.7690072,school
-73.9537599,40.7634628,school
-73.9556053,40.7642185,school
-73.9582339,40.7606023,school
-73.9576223,40.7603422,school
-73.9573326,40.7605617,school
-73.9570752,40.7606836,school
-73.9570098,40.7607184,school
-73.9568485,40.7608259,school
-73.9565709,40.7609517,school
-73.9562276,40.761098,school
-73.9559379,40.7613255,school
-73.9550689,40.7620976,school
-73.9544037,40.7627395,school
-73.9540067,40.7631946,school
-73.9537599,40.7634628,school
-73.9956547,40.7469974,school
-73.9953673,40.7473981,school
-73.9964099,40.747833,school
-73.9960749,40.7482947,school
-73.993548,40.7472345,school
-73.9943645,40.7461235,school
-73.9949636,40.7463777,school
-73.9947798,40.7466301,school
-73.9956547,40.7469974,school
-73.9862438,40.7722879,school
-73.9834027,40.7710881,school
-73.9843207,40.7698413,school
-73.9871585,40.7710327,school
-73.9862438,40.7722879,school
-73.9507163,40.8142101,school
-73.9504823,40.8145227,school
-73.9497579,40.8154902,school
-73.9496077,40.8157459,school
-73.9495647,40.8159246,school
-73.9495701,40.8161113,school
-73.9496828,40.8163062,school
-73.9498193,40.8165203,school
-73.949833,40.8165417,school
-73.9499617,40.8167771,school
-73.9499832,40.8170776,school
-73.949892,40.8174308,school
-73.9496774,40.8177962,school
-73.9495929,40.8179398,school
-73.9497798,40.8180159,school
-73.9506748,40.8183802,school
-73.9502244,40.8189988,school
-73.9492108,40.8185687,school
-73.949014,40.8184852,school
-73.9488513,40.8185878,school
-73.9485133,40.8187989,school
-73.9483041,40.8189856,school
-73.9476475,40.8198049,school
-73.9474595,40.8200863,school
-73.9474243,40.8202847,school
-73.9475091,40.8205885,school
-73.9476067,40.820849,school
-73.9477511,40.8211881,school
-73.9473699,40.8217251,school
-73.9480404,40.8220083,school
-73.9484874,40.8213973,school
-73.949823,40.821937,school
-73.9502393,40.8213748,school
-73.9506721,40.8207837,school
-73.9507178,40.8207211,school
-73.9509586,40.8204148,school
-73.9520249,40.8189355,school
-73.9516021,40.818752,school
-73.9518604,40.8184098,school
-73.9516837,40.8178733,school
-73.9526117,40.8165498,school
-73.9526874,40.8160283,school
-73.9523612,40.8158933,school
-73.952435,40.8153349,school
-73.9513401,40.8148225,school
-73.9515187,40.8145558,school
-73.9507163,40.8142101,school
-73.9615047,40.8111573,school
-73.9620178,40.8104995,school
-73.9603274,40.8098142,school
-73.9592062,40.8093313,school
-73.9587296,40.8099972,school
-73.9615047,40.8111573,school
-73.95884,40.819964,school
-73.9603149,40.8179464,school
-73.959473,40.817041,school
-73.9595266,40.8169883,school
-73.9606647,40.8174639,school
-73.9607226,40.8173821,school
-73.9607548,40.8172846,school
-73.9607602,40.8171588,school
-73.9607494,40.8170329,school
-73.9607183,40.8169199,school
-73.9606432,40.8167899,school
-73.9605467,40.8166316,school
-73.9604973,40.8165295,school
-73.960493,40.8164652,school
-73.9599566,40.8165098,school
-73.9597098,40.8162337,school
-73.9595159,40.8160707,school
-73.9589159,40.8158156,school
-73.9590116,40.8156769,school
-73.958653,40.8155152,school
-73.9570858,40.8176419,school
-73.9569271,40.8175735,school
-73.9558144,40.8170938,school
-73.955632,40.8174551,school
-73.955337,40.818466,school
-73.9553102,40.8185229,school
-73.9552217,40.8184869,school
-73.9551793,40.8185439,school
-73.9550231,40.818758,school
-73.9550042,40.8187839,school
-73.9549038,40.8187416,school
-73.9547733,40.8189204,school
-73.9547308,40.8189786,school
-73.9546863,40.8190392,school
-73.9554826,40.8193719,school
-73.9559601,40.8187467,school
-73.9560428,40.8187817,school
-73.95884,40.819964,school
-73.962106,40.812252,school
-73.9630665,40.8109353,school
-73.9621944,40.8105701,school
-73.9612283,40.8118836,school
-73.962106,40.812252,school
-73.9605705,40.8124374,school
-73.9610595,40.8118101,school
-73.9597164,40.811241,school
-73.9592454,40.8118746,school
-73.9605705,40.8124374,school
-73.962106,40.812252,school
-73.9612283,40.8118836,school
-73.9606206,40.8127129,school
-73.961513,40.8130627,school
-73.962106,40.812252,school
-73.9763234,40.7189564,school
-73.975625,40.7188113,school
-73.9760493,40.7179303,school
-73.976783,40.7181449,school
-73.9763234,40.7189564,school
-73.9789775,40.7198499,school
-73.9797956,40.7201046,school
-73.9803366,40.7190318,school
-73.9795009,40.7187811,school
-73.9789775,40.7198499,school
-73.9887242,40.7616682,school
-73.9890815,40.7611783,school
-73.9886109,40.7609763,school
-73.9882524,40.7614649,school
-73.9887242,40.7616682,school
-73.9889704,40.7658664,school
-73.9903252,40.7664323,school
-73.9906806,40.7659443,school
-73.9894012,40.7654099,school
-73.9892254,40.7656514,school
-73.9891499,40.7656199,school
-73.9889704,40.7658664,school
-73.957245,40.809404,school
-73.9582593,40.8098176,school
-73.9584751,40.8095178,school
-73.9584064,40.8094904,school
-73.9586786,40.8091121,school
-73.9586165,40.8090863,school
-73.9581811,40.8089054,school
-73.9578968,40.8092671,school
-73.9574144,40.8090694,school
-73.957617,40.808671,school
-73.9579313,40.8080465,school
-73.9583999,40.8074127,school
-73.959357,40.806121,school
-73.9595149,40.8061483,school
-73.959695,40.8058171,school
-73.9598966,40.8055508,school
-73.961565,40.806164,school
-73.9616368,40.806065,school
-73.9620156,40.8055427,school
-73.9619961,40.8055105,school
-73.9624527,40.8048852,school
-73.9627644,40.8050154,school
-73.9630134,40.8047144,school
-73.9634962,40.8049134,school
-73.9637336,40.8045949,school
-73.9638023,40.8046237,school
-73.964038,40.8043124,school
-73.964204,40.8043814,school
-73.964433,40.8040698,school
-73.9643054,40.8040163,school
-73.9645165,40.8037246,school
-73.9648692,40.8038779,school
-73.9646521,40.8041618,school
-73.9653106,40.8044383,school
-73.9650703,40.8047559,school
-73.9652081,40.8048149,school
-73.9654164,40.8049093,school
-73.9654646,40.8048687,school
-73.9656913,40.8049712,school
-73.9657436,40.8049052,school
-73.9659711,40.8050084,school
-73.966136,40.8047848,school
-73.965748,40.8046219,school
-73.9659748,40.8043212,school
-73.9663576,40.8044878,school
-73.9666191,40.8041373,school
-73.966056,40.8039012,school
-73.9655819,40.8037025,school
-73.9657986,40.803416,school
-73.966276,40.8036109,school
-73.9663985,40.8034543,school
-73.9669452,40.8036859,school
-73.9666191,40.8041373,school
-73.9663576,40.8044878,school
-73.9659711,40.8050084,school
-73.9661848,40.8051945,school
-73.966559,40.8052098,school
-73.9662049,40.8056767,school
-73.9662908,40.8057133,school
-73.966082,40.8059998,school
-73.966907,40.806335,school
-73.9666837,40.8066401,school
-73.9666716,40.8066756,school
-73.967087,40.8068567,school
-73.9669553,40.8072687,school
-73.9665483,40.8070857,school
-73.9663631,40.8073396,school
-73.9662034,40.8072726,school
-73.9657436,40.8078815,school
-73.9657268,40.8078983,school
-73.9665386,40.8082347,school
-73.9664023,40.8083686,school
-73.9659823,40.8086996,school
-73.9658465,40.8088422,school
-73.9649655,40.8084759,school
-73.9639998,40.8080666,school
-73.9638152,40.8079924,school
-73.9632086,40.8087939,school
