lon,lat,home
-73.926391,40.8082151,residential
-73.9260327,40.8086918,residential
-73.925171,40.8083366,residential
-73.9255366,40.8078388,residential
-73.9243346,40.8073535,residential
-73.9230389,40.8090596,residential
-73.924246,40.8095445,residential
-73.9246522,40.8090206,residential
-73.9255332,40.8094017,residential
-73.9251499,40.8099213,residential
-73.9271324,40.8107425,residential
-74.0041784,40.7448206,residential
-74.0050126,40.7436702,residential
-74.0057294,40.7439716,residential
-74.0059051,40.7437344,residential
-74.0056444,40.7436258,residential
-74.0058775,40.7433043,residential
-74.0053714,40.7430937,residential
-74.0055599,40.7428335,residential
-74.0044898,40.7423881,residential
-74.0030628,40.7443562,residential
-74.0041784,40.7448206,residential
-74.0035178,40.7475913,residential
-74.003429,40.7475539,residential
-74.0034314,40.7475504,residential
-74.0034158,40.7475438,residential
-74.0034181,40.7475406,residential
-74.0032845,40.7474844,residential
-74.0032821,40.7474876,residential
-74.003263,40.7474796,residential
-74.0032605,40.747483,residential
-74.0031716,40.7474456,residential
-74.003069,40.7474025,residential
-74.0030714,40.747399,residential
-74.0030558,40.7473924,residential
-74.0030581,40.7473892,residential
-74.0029318,40.7473361,residential
-74.0029294,40.7473393,residential
-74.0029103,40.7473313,residential
-74.0029078,40.7473347,residential
-74.0028229,40.747299,residential
-74.0027243,40.7472576,residential
-74.0027267,40.7472541,residential
-74.0027111,40.7472475,residential
-74.0027134,40.7472443,residential
-74.0025871,40.7471911,residential
-74.0025847,40.7471943,residential
-74.0025656,40.7471863,residential
-74.0025631,40.7471897,residential
-74.0024749,40.7471526,residential
-74.0023738,40.7471101,residential
-74.0023762,40.7471066,residential
-74.0023606,40.7471,residential
-74.0023629,40.7470968,residential
-74.0022366,40.7470437,residential
-74.0022342,40.7470469,residential
-74.0022151,40.7470389,residential
-74.0022126,40.7470423,residential
-74.002128,40.7470067,residential
-74.0020392,40.7469695,residential
-74.0020416,40.746966,residential
-74.002026,40.7469594,residential
-74.0020283,40.7469562,residential
-74.001902,40.746903,residential
-74.0018996,40.7469062,residential
-74.0018805,40.7468982,residential
-74.001878,40.7469016,residential
-74.0017777,40.7468595,residential
-74.0017881,40.7468454,residential
-74.001395,40.74668,residential
-74.0013566,40.7467324,residential
-74.0013124,40.7467927,residential
-74.0012722,40.7468475,residential
-74.0011989,40.7469487,residential
-74.0011497,40.7470169,residential
-74.001052,40.7471516,residential
-74.0014451,40.747317,residential
-74.0014814,40.7472679,residential
-74.0015977,40.7473168,residential
-74.0015954,40.7473199,residential
-74.001611,40.7473265,residential
-74.0016085,40.74733,residential
-74.0017349,40.7473832,residential
-74.001737,40.7473803,residential
-74.0017561,40.7473883,residential
-74.0017589,40.7473846,residential
-74.0018307,40.7474148,residential
-74.0019394,40.7474607,residential
-74.0019371,40.7474638,residential
-74.0019528,40.7474704,residential
-74.0019502,40.7474739,residential
-74.0020766,40.747527,residential
-74.0020787,40.7475241,residential
-74.0020979,40.7475322,residential
-74.0021006,40.7475284,residential
-74.0021779,40.7475608,residential
-74.0022656,40.7475977,residential
-74.0022633,40.7476008,residential
-74.002279,40.7476074,residential
-74.0022764,40.747611,residential
-74.0024028,40.7476641,residential
-74.002405,40.7476612,residential
-74.0024241,40.7476692,residential
-74.0024268,40.7476655,residential
-74.0025257,40.7477071,residential
-74.0026237,40.7477483,residential
-74.0026214,40.7477515,residential
-74.002637,40.7477581,residential
-74.0026345,40.7477616,residential
-74.0027609,40.7478147,residential
-74.002763,40.7478118,residential
-74.0027821,40.7478199,residential
-74.0027849,40.7478161,residential
-74.0028724,40.747853,residential
-74.0029681,40.7478932,residential
-74.0029659,40.7478964,residential
-74.0029815,40.747903,residential
-74.002979,40.7479065,residential
-74.0031053,40.7479596,residential
-74.0031075,40.7479567,residential
-74.0031266,40.7479648,residential
-74.0031293,40.747961,residential
-74.0032209,40.7479996,residential
-74.003185,40.7480489,residential
-74.0033096,40.7481013,residential
-74.0034378,40.7481553,residential
-74.0035785,40.7482145,residential
-74.0036169,40.748162,residential
-74.0036768,40.7480792,residential
-74.0037263,40.7480114,residential
-74.0037996,40.7479104,residential
-74.0038395,40.7478556,residential
-74.0038834,40.7477952,residential
-74.0039215,40.7477428,residential
-74.0037814,40.7476839,residential
-74.0036525,40.7476296,residential
-74.003528,40.7475773,residential
-74.0035178,40.7475913,residential
-73.9851077,40.7752169,residential
-73.9882832,40.7765662,residential
-73.9880343,40.7770443,residential
-73.9876827,40.7777193,residential
-73.9870129,40.7790146,residential
-73.9856384,40.7784496,residential
-73.9860998,40.7778214,residential
-73.9836502,40.7767954,residential
-73.9844013,40.7757434,residential
-73.9846468,40.7758474,residential
-73.9851077,40.7752169,residential
-73.9446417,40.7897036,residential
-73.9455661,40.7901007,residential
-73.9486469,40.7859081,residential
-73.9467308,40.7850521,residential
-73.9445196,40.7880291,residential
-73.9452064,40.7883341,residential
-73.9451136,40.7887224,residential
-73.9447253,40.789227,residential
-73.9446417,40.7897036,residential
-74.0017865,40.7283198,residential
-74.001311,40.7288832,residential
-74.0011817,40.728823,residential
-74.0009113,40.7286117,residential
-74.0007677,40.7285416,residential
-74.0012016,40.7280273,residential
-74.0017865,40.7283198,residential
-73.9492806,40.7850494,residential
-73.9496517,40.784533,residential
-73.947696,40.7837273,residential
-73.9473249,40.7842438,residential
-73.9492806,40.7850494,residential
-74.0182825,40.7671684,residential
-74.0179435,40.7675964,residential
-74.0178255,40.7677155,residential
-74.0173733,40.7681712,residential
-74.0166183,40.768874,residential
-74.0161385,40.7693327,residential
-74.016052,40.7694339,residential
-74.0152909,40.769088,residential
-74.0155605,40.7687188,residential
-74.0159279,40.7682297,residential
-74.0162279,40.7678018,residential
-74.0170411,40.7666997,residential
-74.0171913,40.7667596,residential
-74.017257,40.7667393,residential
-74.0182825,40.7671684,residential
-73.9375733,40.8127215,residential
-73.9389711,40.8109202,residential
-73.9359688,40.8095418,residential
-73.9351895,40.8106881,residential
-73.9349473,40.8115093,residential
-73.9375733,40.8127215,residential
-73.936224,40.81467,residential
-73.937635,40.812748,residential
-73.9362925,40.8121723,residential
-73.9358378,40.8121349,residential
-73.9348845,40.8116933,residential
-73.9345911,40.8138395,residential
-73.9348556,40.814027,residential
-73.936224,40.81467,residential
-73.9569501,40.8175466,residential
-73.9577702,40.816296,residential
-73.9574628,40.8161869,residential
-73.9569141,40.8155516,residential
-73.9565853,40.8157829,residential
-73.9562763,40.8156528,residential
-73.9558589,40.8162348,residential
-73.9545749,40.8156734,residential
-73.9531759,40.8175891,residential
-73.955294,40.81848,residential
-73.9555992,40.8174353,residential
-73.9557923,40.8170496,residential
-73.9569501,40.8175466,residential
-73.9582901,40.8157011,residential
-73.9596845,40.813781,residential
-73.9568144,40.8126067,residential
-73.957798,40.8112598,residential
-73.9568345,40.8108521,residential
-73.9564241,40.8113725,residential
-73.954513,40.810687,residential
-73.954288,40.810992,residential
-73.9582901,40.8157011,residential
-73.93677,40.802397,residential
-73.9372283,40.8017686,residential
-73.9350895,40.800864,residential
-73.934642,40.8015053,residential
-73.93677,40.802397,residential
-73.971814,40.7905011,residential
-73.9722771,40.7898803,residential
-73.9709548,40.7893273,residential
-73.9705034,40.7899491,residential
-73.971814,40.7905011,residential
-73.9469364,40.7998607,residential
-73.948181,40.7981551,residential
-73.9452735,40.7969368,residential
-73.9440397,40.7986181,residential
-73.9469364,40.7998607,residential
-73.9405229,40.7888719,residential
-73.9418743,40.787035,residential
-73.9396761,40.7861132,residential
-73.9384617,40.7874581,residential
-73.9382016,40.7878786,residential
-73.9405229,40.7888719,residential
-73.9495434,40.7935574,residential
-73.952743,40.789168,residential
-73.951331,40.7885637,residential
-73.9512613,40.7885339,residential
-73.9480228,40.7929833,residential
-73.9495434,40.7935574,residential
-73.9509512,40.7884012,residential
-73.9514153,40.7877743,residential
-73.9484183,40.7865139,residential
-73.948129,40.7869289,residential
-73.9487087,40.7871755,residential
-73.9485599,40.7873778,residential
-73.9509512,40.7884012,residential
-73.9459477,40.7812043,residential
-73.946359,40.7806474,residential
-73.9447644,40.779992,residential
-73.9449117,40.7807761,residential
-73.9459477,40.7812043,residential
-73.9810817,40.7191146,residential
-73.981974,40.7173028,residential
-73.9804369,40.7168486,residential
-73.979538,40.7186456,residential
-73.9810817,40.7191146,residential
-73.9869004,40.7242766,residential
-73.9870625,40.7240638,residential
-73.9858129,40.7235363,residential
-73.9860581,40.7232037,residential
-73.9857853,40.7230928,residential
-73.985378,40.7236472,residential
-73.9869004,40.7242766,residential
-73.9470207,40.7105294,residential
-73.9467015,40.7085199,residential
-73.9452034,40.7086631,residential
-73.9454379,40.7100999,residential
-73.9436011,40.7102776,residential
-73.9433731,40.7088359,residential
-73.940162,40.709142,residential
-73.9404877,40.7111663,residential
-73.9470207,40.7105294,residential
-73.9404115,40.7186417,residential
-73.940164,40.7172002,residential
-73.9383728,40.7177284,residential
-73.9379754,40.7169139,residential
-73.9366793,40.7172446,residential
-73.9375911,40.7193625,residential
-73.9404115,40.7186417,residential
-73.9921766,40.7124124,residential
-73.9920157,40.7113186,residential
-73.9919084,40.7109892,residential
-73.9910822,40.7111071,residential
-73.9911788,40.7116642,residential
-73.9902883,40.7117374,residential
-73.990181,40.7112291,residential
-73.9898323,40.7112738,residential
-73.9900469,40.7125872,residential
-73.9921766,40.7124124,residential
-73.9878109,40.7239937,residential
