,long,lat,id,num
6239,-74.0123807,40.7066535,7.0348,435
6240,-73.9922363,40.7367924,7.0349,1287
6241,-73.9804166,40.7256578,7.0352,162
6242,-73.9908333,40.7422222,7.0353,1521
6243,-73.9895836,40.7434351,7.0354,1435
6244,-73.982639,40.7295465,7.0356,341
6245,-73.9659718,40.7551017,7.0358,497
6246,-73.9597315,40.7652958,7.036,521
6247,-73.9965928,40.7398401,7.0363,690
6248,-73.9968171,40.739738,7.0364,692
6249,-73.9972222,40.7386111,7.0369,652
6250,-73.9709581,40.768013,7.0371,1101
6251,-73.9836679,40.7461718,7.0373,1485
6252,-73.999944,40.7327109,7.0374,551
6253,-74.0013399,40.7304534,7.0375,595
6254,-73.9981738,40.7289376,7.0376,735
6255,-73.9998181,40.7270177,7.0377,690
6256,-73.9975754,40.7259057,7.0378,792
6257,-73.9972784,40.7262575,7.0379,802
6258,-73.9965,40.7258656,7.038,771
6259,-73.9963141,40.7260797,7.0381,772
6260,-73.9970936,40.7264735,7.0382,798
6261,-73.9966749,40.7269675,7.0383,776
6262,-73.9958777,40.7265648,7.0384,751
6263,-73.9948617,40.7277467,7.0385,652
6264,-73.9956846,40.7281422,7.0386,740
6265,-73.9950618,40.7288365,7.0387,698
6266,-73.994331,40.7284965,7.0388,659
6267,-73.9934042,40.7295906,7.0389,726
6268,-73.9948846,40.7303386,7.039,698
6269,-73.9940737,40.7312667,7.0391,722
6270,-73.9963197,40.7322059,7.0392,561
6271,-73.9979742,40.73286,7.0393,458
6272,-73.9986282,40.7320879,7.0394,454
6273,-73.999944,40.7327109,7.0395,551
6274,-73.9650561,40.7690072,7.0396,720
6275,-73.9654282,40.7685027,7.0397,830
6276,-73.9646375,40.7681683,7.0398,701
6277,-73.9650872,40.7675584,7.0399,827
6278,-73.9645806,40.7673441,7.04,760
6279,-73.9643899,40.7676012,7.0401,714
6280,-73.963891,40.767389,7.0402,685
6281,-73.963828,40.7673622,7.0403,671
6282,-73.9638088,40.767354,7.0404,669
6283,-73.9637839,40.7673434,7.0405,659
6284,-73.9636983,40.7674587,7.0406,635
6285,-73.9636136,40.7675727,7.0407,624
6286,-73.9642008,40.7678211,7.0408,681
6287,-73.9637375,40.7684494,7.0409,564
6288,-73.9650561,40.7690072,7.041,720
6289,-73.9537599,40.7634628,7.0411,406
6290,-73.9556053,40.7642185,7.0412,572
6291,-73.9582339,40.7606023,7.0413,372
6292,-73.9576223,40.7603422,7.0414,336
6293,-73.9573326,40.7605617,7.0415,345
6294,-73.9570752,40.7606836,7.0416,365
6295,-73.9570098,40.7607184,7.0417,363
6296,-73.9568485,40.7608259,7.0418,370
6297,-73.9565709,40.7609517,7.0419,368
6298,-73.9562276,40.761098,7.042,389
6299,-73.9559379,40.7613255,7.0421,442
6300,-73.9550689,40.7620976,7.0422,520
6301,-73.9544037,40.7627395,7.0423,476
6302,-73.9540067,40.7631946,7.0424,440
6303,-73.9537599,40.7634628,7.0425,406
6304,-73.9956547,40.7469974,7.0426,829
6305,-73.9953673,40.7473981,7.0427,885
6306,-73.9964099,40.747833,7.0428,675
6307,-73.9960749,40.7482947,7.0429,797
6308,-73.993548,40.7472345,7.043,1462
6309,-73.9943645,40.7461235,7.0431,1238
6310,-73.9949636,40.7463777,7.0432,1069
6311,-73.9947798,40.7466301,7.0433,1080
6312,-73.9956547,40.7469974,7.0434,829
6313,-73.9862438,40.7722879,7.0435,347
6314,-73.9834027,40.7710881,7.0436,1088
6315,-73.9843207,40.7698413,7.0437,684
6316,-73.9871585,40.7710327,7.0438,374
6317,-73.9862438,40.7722879,7.0439,347
6318,-73.9763234,40.7189564,7.0546,66
6319,-73.975625,40.7188113,7.0547,51
6320,-73.9760493,40.7179303,7.0548,54
6321,-73.976783,40.7181449,7.0549,70
6322,-73.9763234,40.7189564,7.055,66
6323,-73.9789775,40.7198499,7.0551,91
6324,-73.9797956,40.7201046,7.0552,95
6325,-73.9803366,40.7190318,7.0553,84
6326,-73.9795009,40.7187811,7.0554,92
6327,-73.9789775,40.7198499,7.0555,91
6328,-73.9887242,40.7616682,7.0556,674
6329,-73.9890815,40.7611783,7.0557,732
6330,-73.9886109,40.7609763,7.0558,716
6331,-73.9882524,40.7614649,7.0559,709
6332,-73.9887242,40.7616682,7.056,674
6333,-73.9889704,40.7658664,7.0561,411
6334,-73.9903252,40.7664323,7.0562,372
6335,-73.9906806,40.7659443,7.0563,384
6336,-73.9894012,40.7654099,7.0564,399
6337,-73.9892254,40.7656514,7.0565,393
6338,-73.9891499,40.7656199,7.0566,398
